"data.GEOID","data.NAME","data.estimate.x","data.estimate.y"
"06001","Alameda County, California",1578891,192168
"06007","Butte County, California",222090,36957
"06013","Contra Costa County, California",1094205,151156
"06017","El Dorado County, California",181737,31982
"06019","Fresno County, California",955272,103713
"06023","Humboldt County, California",134493,19783
"06025","Imperial County, California",176584,20190
"06029","Kern County, California",864124,83285
"06031","Kings County, California",150960,13253
"06033","Lake County, California",63860,12622
"06037","Los Angeles County, California",10017068,1187073
"06039","Madera County, California",152389,18853
"06041","Marin County, California",258365,48835
"06045","Mendocino County, California",87192,16043
"06047","Merced County, California",263228,27004
"06053","Monterey County, California",428826,49926
"06055","Napa County, California",140326,23085
"06057","Nevada County, California",98200,22396
"06059","Orange County, California",3114363,397115
"06061","Placer County, California",367309,63312
"06065","Riverside County, California",2292507,293818
"06067","Sacramento County, California",1462131,181630
"06071","San Bernardino County, California",2088371,208815
"06073","San Diego County, California",3211252,396293
"06075","San Francisco County, California",837442,119132
"06077","San Joaquin County, California",704379,80467
"06079","San Luis Obispo County, California",276443,46922
"06081","San Mateo County, California",747373,107543
"06083","Santa Barbara County, California",435697,59742
"06085","Santa Clara County, California",1862041,223026
"06087","Santa Cruz County, California",269419,33868
"06089","Shasta County, California",178980,34167
"06095","Solano County, California",424788,54785
"06097","Sonoma County, California",495025,79199
"06099","Stanislaus County, California",525491,62495
"06101","Sutter County, California",95350,13328
"06107","Tulare County, California",454143,46021
"06111","Ventura County, California",839620,109429
"06113","Yolo County, California",204593,23243
"06115","Yuba County, California",73340,7584
