"county","avg_heatmap","var_heatmap"
"Alameda",15691.834073476,79116.5956398217
"Alpine",15798.2141577061,60047.5686385551
"Amador",15291.1063013699,16502.6432990868
"Butte",15457.4351630867,102487.36142096
"Calaveras",15249.0594473008,15017.249759643
"Colusa",15472.1427758817,78295.4424826479
"Contra Costa",15510.6566849431,41756.6255449551
"Del Norte",15524.0685079881,24469.5264538134
"El Dorado",15348.3943793039,95690.3870644555
"Fresno",15593.7480017762,151372.694861397
"Glenn",15650.2036336109,143072.931011529
"Humboldt",15321.3647746931,12933.5215667869
"Imperial",16037.1771671135,88977.3366738242
"Inyo",15974.4443932462,79410.7734777957
"Kern",15991.3520493646,69908.886640569
"Kings",15652.1850156589,120852.457327223
"Lake",15748.0564717641,54944.2027586557
"Lassen",15433.4633509751,37992.2389591008
"Los Angeles",15790.3348807428,108490.749768588
"Madera",15450.6130629933,238038.079049146
"Marin",15408.7668161435,54312.131041852
"Mariposa",15229.9736183762,63727.239977191
"Mendocino",15401.9444636678,69693.6169517843
"Merced",15778.3051334009,110384.894379994
"Modoc",15417.2846865365,13815.6357150649
"Mono",15877.7466453674,87501.1377430322
"Monterey",16025.3669554455,72295.5467923212
"Napa",15616.4095519865,44558.8947755286
"Nevada",15268.0101488498,26091.1105568645
"Orange",15750.6543209877,49097.7929550345
"Placer",15298.5383248167,87896.929030882
"Plumas",15428.1042311662,71114.8202530277
"Riverside",15975.5585174954,98142.0835961261
"Sacramento",15701.8304289544,40190.3621176839
"San Benito",15743.4590045684,52822.0266378737
"San Bernardino",16021.5171159142,59108.0769969895
"San Diego",15917.2016284234,184760.79937554
"San Francisco",15690.7470119522,71194.1574261835
"San Joaquin",15801.5959383754,53538.756845512
"San Luis Obispo",16037.9857802401,100763.420242881
"San Mateo",15722.714091527,23401.5152274495
"Santa Barbara",15614.5019543974,86850.3010603563
"Santa Clara",15735.9685180445,74281.3735606041
"Santa Cruz",15834.066922655,93312.2754310846
"Shasta",15465.3351197165,33463.1056138364
"Sierra",15448.8613518198,113088.787288741
"Siskiyou",15645.1086753987,30341.2501094313
"Solano",15543.5866567275,42239.7444453061
"Sonoma",15451.1019408329,48017.2193460251
"Stanislaus",15731.8928257042,78427.2645401977
"Sutter",15682.6400660429,54053.4111251058
"Tehama",15447.6807906396,132328.330722756
"Trinity",15318.402925392,26727.1629339796
"Tulare",15623.2808024905,220444.83362548
"Tuolumne",15377.4623167155,138601.412130136
"Ventura",15735.5464696223,102309.463516028
"Yolo",15630.635086573,72571.236402517
"Yuba",15442.3514622884,55318.3954046881
